,arrivetime,leavetime,longitude,latitude,country,region
175,2019-11-26 01:48:40.471,2019-11-26 01:50:05.289,19.841736213124,41.3382928292265,alb,11
176,2019-11-26 01:48:40.560,2019-11-26 01:49:41.018,19.4909515380859,41.3080673217773,alb,11
177,2019-11-26 01:48:40.611,2019-11-26 01:49:40.824,19.8183798716211,41.3169182280164,alb,11
178,2019-11-26 01:48:40.623,2019-11-26 01:50:11.625,19.8350956194282,41.3443930122588,alb,11
179,2019-11-26 01:48:40.658,2019-11-26 01:54:15.345,19.8073667685474,41.3263182098278,alb,11
180,2019-11-26 01:48:40.682,2019-11-26 01:49:54.572,19.7963724,41.3272952,alb,11
181,2019-11-26 01:48:40.716,2019-11-26 01:49:41.099,19.804611206055,41.336250305176,alb,11
182,2019-11-26 01:48:40.814,2019-11-26 01:49:41.149,19.4818342,41.3311773,alb,11
183,2019-11-26 01:48:40.839,2019-11-26 01:50:08.156,19.5172824859619,41.347339630127,alb,11
184,2019-11-26 01:48:40.897,2019-11-26 01:50:04.048,19.8245334473302,41.3346643292138,alb,11
185,2019-11-26 01:48:40.914,2019-11-26 01:49:41.060,19.8205057,41.3284859,alb,11
186,2019-11-26 01:48:40.982,2019-11-26 01:50:05.233,19.81390953064,41.304439544678,alb,11
187,2019-11-26 01:48:41.019,2019-11-26 01:50:26.436,19.8349936887828,41.3431490213478,alb,11
188,2019-11-26 01:48:41.031,2019-11-26 01:50:02.468,19.4549273,41.3365971,alb,11
189,2019-11-26 01:48:41.092,2019-11-26 01:50:27.652,19.811250686646,41.31615447998,alb,11
190,2019-11-26 01:48:41.107,2019-11-26 01:49:52.460,19.5206485,41.2662273,alb,11
191,2019-11-26 01:48:41.124,2019-11-26 01:49:43.142,19.5336723,41.3393771,alb,11
192,2019-11-26 01:48:41.135,2019-11-26 01:50:19.992,19.737012863159,41.368934631348,alb,11
193,2019-11-26 01:48:41.148,2019-11-26 01:49:56.597,19.4776317,41.3198422,alb,11
194,2019-11-26 01:48:41.219,2019-11-26 01:51:05.048,19.7989122782802,41.3280056215907,alb,11
195,2019-11-26 01:48:41.221,2019-11-26 01:49:42.050,19.860280990601,41.34912109375,alb,11
196,2019-11-26 01:48:41.349,2019-11-26 01:50:11.161,19.7957423026929,41.3257746146588,alb,11
197,2019-11-26 01:48:41.393,2019-11-26 01:52:00.429,19.7978902,41.326923,alb,11
198,2019-11-26 01:48:41.537,2019-11-26 01:50:07.354,19.7582373,41.371345,alb,11
199,2019-11-26 01:48:41.607,2019-11-26 01:51:05.498,19.7960189164015,41.3313211471771,alb,11
200,2019-11-26 01:48:41.822,2019-11-26 01:49:46.282,19.812869303254,41.3311305970618,alb,11
201,2019-11-26 01:48:41.825,2019-11-26 01:50:13.497,19.7718289,41.3191003,alb,11
202,2019-11-26 01:48:41.834,2019-11-26 01:49:55.414,19.4453004,41.3240658,alb,11
203,2019-11-26 01:48:41.857,2019-11-26 01:50:31.446,19.6005074796148,41.3798040400826,alb,11
204,2019-11-26 01:48:41.885,2019-11-26 01:49:41.885,19.834361,41.3299122,alb,11
205,2019-11-26 01:48:41.891,2019-11-26 01:50:34.601,19.7784903,41.3328466,alb,11
206,2019-11-26 01:48:41.938,2019-11-26 01:49:42.150,19.4885653610329,41.3391052409686,alb,11
207,2019-11-26 01:48:41.953,2019-11-26 01:51:03.416,19.8048363280704,41.3130561179178,alb,11
208,2019-11-26 01:48:41.955,2019-11-26 01:49:56.356,19.545881271362,41.344722747803,alb,02
209,2019-11-26 01:48:41.981,2019-11-26 01:50:23.719,19.8085721,41.3150465,alb,11
210,2019-11-26 01:48:42.014,2019-11-26 01:49:42.315,20.5269869137747,42.142625092568,alb,11
211,2019-11-26 01:48:42.078,2019-11-26 01:49:42.677,19.8084324,41.3338079,alb,11
212,2019-11-26 01:48:42.089,2019-11-26 01:50:35.775,19.8042808432363,41.3124925221497,alb,11
213,2019-11-26 01:48:42.105,2019-11-26 01:49:42.229,19.451133728027,41.315689086914,alb,11
214,2019-11-26 01:48:42.117,2019-11-26 01:50:13.413,19.7891643935329,41.3381223509153,alb,11
215,2019-11-26 01:48:42.178,2019-11-26 01:50:09.072,19.781413,41.3330941,alb,11
216,2019-11-26 01:48:42.264,2019-11-26 01:49:42.364,19.8025224,41.3188576,alb,11
