,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
188,34962599,web,2019-11-26 02:52:01.524,2019-11-26 02:52:34.328,False,False,1.0,che,zh,zurich,47.36902,8.53803,,
189,34962657,web,2019-11-26 02:52:02.250,2019-11-26 03:00:09.651,True,False,5.0,alb,11,tirana,41.3311,19.8318,,
191,34962607,app,2019-11-26 02:52:03.056,2019-11-26 02:53:03.201,True,False,2.0,che,zh,zurich,47.36902,8.53803,61.1433943,-149.9535444
192,34962662,web,2019-11-26 02:52:03.431,2019-11-26 02:52:22.933,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
193,34962611,web,2019-11-26 02:52:03.897,2019-11-26 03:01:26.965,False,False,2.0,usa,ca,irvine,33.6699,-117.76458,,
194,34962612,web,2019-11-26 02:52:04.098,2019-11-26 02:52:29.724,True,False,1.0,chn,sh,shanghai,31.2358,121.4832,,
195,34962619,web,2019-11-26 02:52:04.854,2019-11-26 02:56:01.836,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
197,34962687,web,2019-11-26 02:52:06.791,2019-11-26 02:52:09.184,False,False,1.0,can,qc,montreal,45.60608,-73.63886,,
198,34962626,web,2019-11-26 02:52:06.925,2019-11-26 02:52:10.460,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
199,34962629,app,2019-11-26 02:52:08.058,2019-11-26 02:53:08.146,True,False,2.0,alb,11,tirana,41.3311,19.8318,40.6908187866211,29.6023368835449
200,34962633,web,2019-11-26 02:52:08.683,2019-11-26 02:51:59.753,False,False,2.0,bgr,14,pernik,42.61023,23.03214,,
201,34962701,web,2019-11-26 02:52:10.504,2019-11-26 02:53:20.250,True,False,1.0,usa,dc,washington,38.89869,-77.0332,,
202,34962714,web,2019-11-26 02:52:11.814,2019-11-26 02:52:44.992,True,False,3.0,som,wo,hargeysa,9.5606,44.0598,,
203,34962653,app,2019-11-26 02:52:12.949,2019-11-26 02:53:13.162,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3112042076067,19.4408343506232
